id,course
399,Công nghệ gia công kim loại
400,Thiết kế kỹ thuật
401,Toán kỹ thuật
402,Khoa học kỹ thuật
403,Quản lý dự án KT chuyên nghiệp
404,Các nguyên lý cơ bản của nhiệt động lực học và động cơ nhiệt
405,Thực hành xưởng Ck
406,Thiết kế và chế tạo với sự hỗ trợ của máy tính
407,Nguyên lý cơ học
408,Đồ án nghiên cứu
409,Quản lý kỹ thuật chuyên nghiệp
410,Nguyên lý cơ học nâng cao
411,Kỹ thuật  an toàn
412,Nguyên lý kỹ thuật
413,Nguyên lý kỹ thuật chế tạo chi tiết cơ khí
414,Kỹ thuật tiện
415,Kỹ thuật phay
416,Khoa học và toán nâng cao
417,Toán kỹ thuật
418,Kỹ thuật điện ứng dụng trong cơ khí
419,Nguyên lý cơ học kỹ thuật
420,Cơ lưu chất và nhiệt động học kỹ thuật
421,Thiết kế CAD cho sản xuất
422,Thiết kế kỹ thuật
423,Lập kế hoạch kỹ thuật
424,Bảo trì hệ thống kỹ thuật và thiết bị
425,Công nghệ gia công kim loại
426,Công nghệ hàn và thực nghiệm
427,Quản lý và kiểm tra chất lượng mối hàn
428,Toán kỹ thuật nâng cao
429,Phân tích cơ lưu chất
430,Nhiệt động học ứng dụng
431,Cơ học chất rắn
432,Vật liệu ứng dụng
433,Động lực học hệ thống máy
434,Đồ án kỹ thuật
435,Mô hình hóa thiết kế kỹ thuật
436,Chính trị
437,Pháp luật
438,Giáo dục thể chất
439,Giáo dục quốc phòng
440,Tiếng anh giao tiếp 1
441,Tin học căn bản
442,Tiếng anh giao tiếp 2
443,Tiếng anh giao tiếp 3
444,Vẽ Kỹ thuật
445,Thực hành nguội
446,Kỹ thuật an toàn và Bảo hộ lao động
447,Cơ kỹ thuật
448,Dung sai kỹ thuật
449,Vật liệu cơ khí
450,Sức bền vật liệu
451,Hệ thống quản lý chất lượng  (ISO)
452,"Kỹ thuật đo lường, kiểm tra sản phẩm cơ khí"
453,Công nghệ tiện CNC cơ bản
454,Công nghệ phay CNC cơ bản
455,Công nghệ tiện CNC nâng cao
456,Công nghệ phay CNC nâng cao
457,Công nghệ cắt CNC
458,Kỹ thuật bảo trì máy điều khiển chương trình số CNC
459,Đồ án tốt nghiệp
460,Tiếng Anh chuyên ngành cơ khí
